character,movie,screenTime
310,1,4635
296,1,0
644,1,495
97,1,0
605,1,0
280,1,0
133,1,0
226,1,0
653,1,0
574,1,0
248,1,0
518,1,0
210,1,0
271,1,0
442,1,0
531,1,0
488,1,0
640,1,0
27,1,0
95,1,0
568,1,0
202,1,0
393,1,0
628,1,0
648,1,0
139,1,0
444,1,15
451,1,0
545,1,0
245,1,0
503,1,0
374,1,0
392,1,0
625,1,0
208,1,0
211,1,0
642,1,0
285,1,0
601,1,0
311,1,1320
310,2,30
296,2,3105
644,2,0
97,2,0
605,2,0
280,2,0
133,2,0
226,2,0
653,2,0
574,2,0
248,2,0
518,2,0
210,2,0
271,2,0
442,2,0
531,2,0
488,2,0
640,2,0
27,2,0
95,2,0
568,2,0
202,2,0
393,2,0
628,2,0
648,2,0
139,2,0
444,2,0
451,2,0
545,2,0
245,2,0
503,2,0
374,2,0
392,2,0
625,2,0
208,2,0
211,2,0
642,2,0
285,2,0
601,2,0
311,2,0
310,3,3675
296,3,0
644,3,1125
97,3,555
605,3,0
280,3,0
133,3,0
226,3,0
653,3,0
574,3,0
248,3,0
518,3,0
210,3,0
271,3,0
442,3,0
531,3,0
488,3,0
640,3,0
27,3,0
95,3,0
568,3,0
202,3,0
393,3,0
628,3,0
648,3,0
139,3,0
444,3,330
451,3,0
545,3,0
245,3,0
503,3,0
374,3,0
392,3,0
625,3,0
208,3,0
211,3,0
642,3,0
285,3,0
601,3,0
311,3,0
310,4,0
296,4,0
644,4,0
97,4,0
605,4,2595
280,4,30
133,4,0
226,4,0
653,4,0
574,4,0
248,4,0
518,4,0
210,4,0
271,4,0
442,4,0
531,4,0
488,4,0
640,4,0
27,4,0
95,4,0
568,4,0
202,4,0
393,4,0
628,4,0
648,4,0
139,4,0
444,4,45
451,4,675
545,4,495
245,4,120
503,4,0
374,4,1275
392,4,0
625,4,0
208,4,0
211,4,0
642,4,0
285,4,0
601,4,0
311,4,0
310,5,0
296,5,0
644,5,0
97,5,0
605,5,0
280,5,0
133,4,3390
226,5,0
653,5,480
574,5,0
248,5,0
518,5,0
210,5,0
271,5,0
442,5,0
531,5,0
488,5,0
640,5,0
27,5,0
95,5,0
568,5,0
202,5,0
393,5,0
628,5,0
648,5,0
139,5,0
444,5,30
451,5,0
545,5,0
245,5,0
503,5,930
374,5,0
392,5,0
625,5,0
208,5,0
211,5,0
642,5,0
285,5,0
601,5,0
311,5,0
310,6,1905
296,6,1305
644,6,0
97,6,1485
605,6,1080
280,6,765
133,6,1695
226,6,0
653,6,0
574,6,0
248,6,0
518,6,0
210,6,0
271,6,0
442,6,0
531,6,0
488,6,0
640,6,0
27,6,0
95,6,0
568,6,0
202,6,0
393,6,0
628,6,0
648,6,0
139,6,0
444,6,1095
451,6,0
545,6,0
245,6,0
503,6,0
374,6,0
392,6,0
625,6,0
208,6,0
211,6,0
642,6,0
285,6,0
601,6,15
311,6,0
310,7,3735
296,7,45
644,7,525
97,7,0
605,7,0
280,7,0
133,7,0
226,7,0
653,7,0
574,7,0
248,7,0
518,7,0
210,7,0
271,7,0
442,7,0
531,7,0
488,7,0
640,7,0
27,7,0
95,7,0
568,7,0
202,7,0
393,7,0
628,7,0
648,7,0
139,7,0
444,7,0
451,7,0
545,7,0
245,7,0
503,7,0
374,7,0
392,7,450
625,7,0
208,7,0
211,7,0
642,7,0
285,7,0
601,7,0
311,7,0
310,8,0
296,8,0
644,8,0
97,8,0
605,8,2100
280,8,0
133,8,0
226,8,0
653,8,0
574,8,0
248,8,0
518,8,0
210,8,0
271,8,0
442,8,0
531,8,0
488,8,0
640,8,0
27,8,0
95,8,0
568,8,0
202,8,0
393,8,0
628,8,0
648,8,0
139,8,0
444,8,0
451,8,540
545,8,195
245,8,240
503,8,0
374,8,1050
392,8,0
625,8,0
208,8,0
211,8,0
642,8,0
285,8,0
601,8,0
311,8,0
310,9,0
296,9,0
644,9,0
97,9,1485
605,9,0
280,9,0
133,9,3540
226,9,855
653,9,795
574,9,0
248,9,0
518,9,0
210,9,0
271,9,0
442,9,0
531,9,15
488,9,15
640,9,0
27,9,0
95,9,0
568,9,0
202,9,0
393,9,0
628,9,0
648,9,0
139,9,0
444,9,930
451,9,0
545,9,0
245,9,0
503,9,0
374,9,0
392,9,0
625,9,0
208,9,0
211,9,0
642,9,0
285,9,0
601,9,0
311,9,0
310,10,0
296,10,0
644,10,0
97,10,0
605,10,0
280,10,0
133,10,0
226,10,0
653,10,0
574,10,2805
248,10,1860
518,10,1170
210,10,1080
271,10,930
442,10,270
531,10,0
488,10,0
640,10,0
27,10,0
95,10,0
568,10,0
202,10,0
393,10,0
628,10,0
648,10,0
139,10,0
444,10,0
451,10,0
545,10,0
245,10,0
503,10,0
374,10,0
392,10,0
625,10,0
208,10,0
211,10,0
642,10,0
285,10,0
601,10,60
311,10,0
310,11,1635
296,11,1200
644,11,150
97,11,1080
605,11,795
280,11,900
133,11,1305
226,11,45
653,11,0
574,11,0
248,11,0
518,11,0
210,11,0
271,11,0
442,11,0
531,11,720
488,11,600
640,11,375
27,11,0
95,11,0
568,11,0
202,11,0
393,11,0
628,11,0
648,11,0
139,11,0
444,11,180
451,11,0
545,11,0
245,11,0
503,11,0
374,11,0
392,11,0
625,11,1020
208,11,0
211,11,0
642,11,0
285,11,0
601,11,15
311,11,0
310,12,0
296,12,0
644,12,0
97,12,0
605,12,0
280,12,0
133,12,15
226,12,165
653,12,15
574,12,0
248,12,0
518,12,0
210,12,0
271,12,0
442,12,0
531,12,0
488,12,0
640,12,0
27,12,3030
95,12,0
568,12,0
202,12,0
393,12,0
628,12,0
648,12,945
139,12,0
444,12,0
451,12,0
545,12,0
245,12,0
503,12,0
374,12,0
392,12,0
625,12,0
208,12,0
211,12,0
642,12,0
285,12,0
601,12,0
311,12,0
310,13,2235
296,13,0
644,13,435
97,13,720
605,13,0
280,13,255
133,13,2295
226,13,615
653,13,1320
574,13,0
248,13,0
518,13,0
210,13,0
271,13,0
442,13,0
531,13,645
488,13,0
640,13,435
27,13,630
95,13,690
568,13,510
202,13,0
393,13,0
628,13,0
648,13,0
139,13,0
444,13,0
451,13,0
545,13,0
245,13,0
503,13,0
374,13,0
392,13,0
625,13,0
208,13,0
211,13,0
642,13,0
285,13,0
601,13,0
311,13,0
310,14,0
296,14,0
644,14,0
97,14,0
605,14,45
280,14,0
133,14,0
226,14,0
653,14,0
574,14,0
248,14,0
518,14,0
210,14,0
271,14,0
442,14,0
531,14,0
488,14,0
640,14,0
27,14,0
95,14,0
568,14,0
202,14,4410
393,14,0
628,14,0
648,14,0
139,14,0
444,14,0
451,14,0
545,14,0
245,14,0
503,14,0
374,14,0
392,14,0
625,14,0
208,14,120
211,14,0
642,14,0
285,14,0
601,14,0
311,14,0
310,15,0
296,15,0
644,15,0
97,15,0
605,15,0
280,15,0
133,15,0
226,15,0
653,15,0
574,15,2145
248,15,1440
518,15,1185
210,15,980
271,15,840
442,15,630
531,15,0
488,15,0
640,15,0
27,15,0
95,15,0
568,15,0
202,15,0
393,15,660
628,15,0
648,15,0
139,15,0
444,15,0
451,15,0
545,15,0
245,15,0
503,15,0
374,15,0
392,15,0
625,15,0
208,15,0
211,15,1020
642,15,0
285,15,0
601,15,0
311,15,0
310,16,480
296,16,0
644,16,0
97,16,0
605,16,0
280,16,0
133,16,60
226,16,0
653,16,0
574,16,0
248,16,0
518,16,0
210,16,0
271,16,0
442,16,0
531,16,0
488,16,0
640,16,0
27,16,0
95,16,0
568,16,4575
202,16,0
393,16,0
628,16,0
648,16,0
139,16,0
444,16,0
451,16,0
545,16,0
245,16,0
503,16,0
374,16,0
392,16,0
625,16,0
208,16,0
211,16,0
642,16,1140
285,16,0
601,16,0
311,16,0
310,17,0
296,17,1035
644,17,0
97,17,15
605,17,3525
280,17,0
133,17,0
226,17,0
653,17,0
574,17,0
248,17,0
518,17,0
210,17,0
271,17,0
442,17,0
531,17,0
488,17,0
640,17,0
27,17,0
95,17,0
568,17,0
202,17,180
393,17,0
628,17,855
648,17,0
139,17,0
444,17,0
451,17,225
545,17,0
245,17,0
503,17,0
374,17,810
392,17,0
625,17,0
208,17,0
211,17,0
642,17,0
285,17,750
601,17,0
311,17,0
310,18,0
296,18,0
644,18,0
97,18,0
605,18,0
280,18,0
133,18,0
226,18,0
653,18,45
574,18,0
248,18,0
518,18,0
210,18,0
271,18,0
442,18,0
531,18,0
488,18,0
640,18,0
27,18,0
95,18,2880
568,18,0
202,18,0
393,18,0
628,18,0
648,18,0
139,18,0
444,18,0
451,18,0
545,18,0
245,18,0
503,18,0
374,18,0
392,18,0
625,18,0
208,18,0
211,18,0
642,18,0
285,18,0
601,18,0
311,18,0
310,19,1020
296,19,570
644,19,165
97,19,300
605,19,915
280,19,0
133,19,435
226,19,165
653,19,120
574,19,615
248,19,1200
518,19,375
210,19,345
271,19,240
442,19,195
531,19,540
488,19,0
640,19,600
27,19,0
95,19,0
568,19,0
202,19,0
393,19,0
628,19,0
648,19,0
139,19,0
444,19,60
451,19,0
545,19,0
245,19,0
503,19,105
374,19,225
392,19,0
625,19,0
208,19,0
211,19,0
642,19,0
285,19,0
601,19,1860
311,19,0
310,20,0
296,20,0
644,20,0
97,20,0
605,20,0
280,20,0
133,20,0
226,20,0
653,20,0
574,20,0
248,20,0
518,20,0
210,20,0
271,20,0
442,20,0
531,20,0
488,20,0
640,20,0
27,20,2550
95,20,210
568,20,435
202,20,675
393,20,345
628,20,
648,20,2100
139,20,0
444,20,0
451,20,0
545,20,0
245,20,0
503,20,0
374,20,0
392,20,0
625,20,0
208,20,0
211,20,0
642,20,0
285,20,0
601,20,0
311,20,0
310,21,0
296,21,15
644,21,15
97,21,30
605,21,0
280,21,0
133,21,0
226,21,0
653,21,0
574,21,0
248,21,0
518,21,0
210,21,0
271,21,0
442,21,0
531,21,0
488,21,0
640,21,0
27,21,0
95,21,0
568,21,0
202,21,0
393,21,0
628,21,0
648,21,0
139,21,3990
444,21,1500
451,21,0
545,21,0
245,21,0
503,21,0
374,21,0
392,21,0
625,21,0
208,21,0
211,21,0
642,21,0
285,21,0
601,21,0
311,21,0
310,22,2130
296,22,1245
644,22,510
97,22,1095
605,22,1230
280,22,1170
133,22,2130
226,22,270
653,22,135
574,22,180
248,22,300
518,22,480
210,22,60
271,22,75
442,22,960
531,22,135
488,22,0
640,22,0
27,22,885
95,22,105
568,22,195
202,22,60
393,22,75
628,22,150
648,22,90
139,22,345
444,22,15
451,22,0
545,22,0
245,22,210
503,22,45
374,22,60
392,22,0
625,22,0
208,22,0
211,22,0
642,22,0
285,22,0
311,22,0
